,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time
167,0.875,FgMDM,13,0,11,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
168,0.79,FgMDM,13,0,11,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
169,0.835,FgMDM,13,0,11,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
170,0.89,ensemble-noDR,13,0,11,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
171,0.895,cov+elasticnet,13,0,11,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
172,0.495,imcoh+elasticnet,13,0,11,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
173,0.7949999999999999,instantaneous+elasticnet,13,0,11,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
174,0.72,ensemble-noDR,13,0,11,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
175,0.75,cov+elasticnet,13,0,11,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
176,0.595,imcoh+elasticnet,13,0,11,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
177,0.55,instantaneous+elasticnet,13,0,11,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
178,0.855,ensemble-noDR,13,0,11,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
179,0.875,cov+elasticnet,13,0,11,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
180,0.6499999999999999,imcoh+elasticnet,13,0,11,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
181,0.645,instantaneous+elasticnet,13,0,11,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
182,0.595,RegCSP+shLDA,13,0,12,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
183,0.56,RegCSP+shLDA,13,0,12,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
184,0.595,CSP+optSVM,13,0,12,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
185,0.55,CSP+optSVM,13,0,12,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
186,0.625,FgMDM,13,0,12,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
187,0.6799999999999999,FgMDM,13,0,12,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
188,0.62,ensemble-noDR,13,0,12,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
189,0.595,cov+elasticnet,13,0,12,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
190,0.47,imcoh+elasticnet,13,0,12,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
191,0.63,instantaneous+elasticnet,13,0,12,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
192,0.58,ensemble-noDR,13,0,12,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
193,0.585,cov+elasticnet,13,0,12,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
194,0.505,imcoh+elasticnet,13,0,12,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
195,0.625,instantaneous+elasticnet,13,0,12,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
