,score,kappa,accuracy,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
128,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
129,0.8,0.6,0.8,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
130,0.9249999999999999,0.85,0.925,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
131,0.675,0.35,0.675,wpli2_debiased+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
132,0.875,0.75,0.875,TRCSP+LDA,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
133,0.975,0.95,0.975,RegCSP+shLDA,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
134,0.975,0.95,0.975,CSP+optSVM,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
135,0.975,0.95,0.975,FgMDM,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
136,0.975,0.95,0.975,ensemble-noDR_best,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
137,0.975,0.95,0.975,cov+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
138,0.7250000000000001,0.44999999999999996,0.7250000000000001,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
139,0.875,0.75,0.875,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
140,0.55,0.09999999999999998,0.55,wpli2_debiased+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
141,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
142,0.975,0.95,0.975,ensemble-noDR_2,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
143,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
144,0.7250000000000001,0.44999999999999996,0.7250000000000001,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
145,0.9500000000000001,0.9,0.95,ensemble-noDR_3,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
146,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
147,0.7250000000000001,0.44999999999999996,0.7250000000000001,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
148,0.875,0.75,0.875,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
149,0.9500000000000001,0.9,0.95,ensemble-noDR_4,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
150,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
151,0.7250000000000001,0.44999999999999996,0.7250000000000001,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
152,0.875,0.75,0.875,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
153,0.55,0.09999999999999998,0.55,wpli2_debiased+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
154,0.7249999999999999,0.44999999999999996,0.725,TRCSP+LDA,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
155,0.975,0.95,0.975,RegCSP+shLDA,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
156,0.975,0.95,0.975,CSP+optSVM,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
157,1.0,1.0,1.0,FgMDM,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
158,0.975,0.95,0.975,ensemble-noDR_best,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
159,0.975,0.95,0.975,cov+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
160,0.7000000000000002,0.4,0.7,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
161,0.825,0.65,0.825,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
162,0.5499999999999999,0.09999999999999998,0.55,wpli2_debiased+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
163,0.875,0.75,0.875,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
164,0.925,0.85,0.925,ensemble-noDR_2,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
165,0.875,0.75,0.875,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
166,0.7000000000000002,0.4,0.7,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
167,0.95,0.9,0.95,ensemble-noDR_3,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
168,0.875,0.75,0.875,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
169,0.7000000000000002,0.4,0.7,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
170,0.8,0.6,0.8,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
171,0.9,0.8,0.9,ensemble-noDR_4,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
172,0.875,0.75,0.875,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
173,0.7000000000000002,0.4,0.7,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
174,0.8,0.6,0.8,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
175,0.5499999999999999,0.09999999999999998,0.55,wpli2_debiased+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
176,0.9,0.8,0.9,TRCSP+LDA,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
177,0.975,0.95,0.975,RegCSP+shLDA,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
178,0.925,0.85,0.925,CSP+optSVM,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
179,0.975,0.95,0.975,FgMDM,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
180,1.0,1.0,1.0,ensemble-noDR_best,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
181,0.975,0.95,0.975,cov+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
182,0.75,0.5,0.75,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
183,0.9,0.8,0.9,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
184,0.7249999999999999,0.44999999999999996,0.725,wpli2_debiased+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
185,0.9,0.8,0.9,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
186,0.95,0.9,0.95,ensemble-noDR_2,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
187,0.9,0.8,0.9,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
188,0.75,0.5,0.75,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
189,0.9249999999999999,0.85,0.925,ensemble-noDR_3,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
190,0.9,0.8,0.9,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
191,0.7249999999999999,0.44999999999999996,0.725,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
192,0.875,0.75,0.875,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
193,0.9249999999999999,0.85,0.925,ensemble-noDR_4,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
194,0.9,0.8,0.9,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
195,0.75,0.5,0.75,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
196,0.9,0.8,0.9,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
197,0.7249999999999999,0.44999999999999996,0.725,wpli2_debiased+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
198,0.875,0.75,0.875,TRCSP+LDA,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
199,0.9249999999999999,0.85,0.925,RegCSP+shLDA,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
200,0.9249999999999999,0.85,0.925,CSP+optSVM,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
201,0.975,0.95,0.975,FgMDM,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
202,0.975,0.95,0.975,ensemble-noDR_best,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
203,0.95,0.9,0.95,cov+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
204,0.9,0.8,0.9,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
205,0.9,0.8,0.9,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
206,0.625,0.25,0.625,wpli2_debiased+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
207,0.95,0.9,0.95,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
208,0.975,0.95,0.975,ensemble-noDR_2,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
