,score,time,samples,fmin,fmax,thres,n_dr,subject,session,channels,n_sessions,dataset,pipeline,FreqBand
22,0.6365,5.996785,200.0,4.0,8.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,theta
23,0.5915,6.205548,200.0,4.0,8.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,theta
24,0.462,6.171171,200.0,4.0,8.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,theta
25,0.5285,6.3634315,200.0,4.0,8.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,theta
26,0.42048612,6.955604,240.0,4.0,8.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,theta
27,0.5055,5.949594,200.0,4.0,8.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,theta
28,0.529,5.73372,200.0,4.0,8.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,theta
29,0.5675,4.5150366,200.0,4.0,8.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,theta
30,0.645,11.221658,200.0,4.0,8.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,theta
31,0.6745,10.08576,200.0,4.0,8.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,theta
32,0.708,9.974829,200.0,4.0,8.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,theta
33,0.512,11.062632,200.0,4.0,8.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,theta
34,0.5175,10.693263,200.0,4.0,8.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,theta
35,0.5195,11.125589,200.0,4.0,8.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,theta
36,0.42881945,11.95426,240.0,4.0,8.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,theta
37,0.51,10.2073145,200.0,4.0,8.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,theta
38,0.443,10.463294,200.0,4.0,8.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,theta
39,0.5175,14.612725,200.0,4.0,8.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,theta
40,0.5295,11.487444,200.0,4.0,8.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,theta
41,0.678,12.878818,200.0,4.0,8.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,theta
42,0.5985,14.43354,200.0,4.0,8.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,theta
43,0.4265,13.939824,200.0,4.0,8.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,theta
44,0.483,14.762711,200.0,4.0,8.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,theta
45,0.6345,14.877508,200.0,4.0,8.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,theta
46,0.5065972,13.066472,240.0,4.0,8.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,theta
47,0.507,10.932624,200.0,4.0,8.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,theta
48,0.455,14.762635,200.0,4.0,8.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,theta
49,0.492,12.089405,200.0,4.0,8.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,theta
50,0.8095,3.3496704,200.0,4.0,8.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,theta
51,0.7925,3.249945,200.0,4.0,8.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,theta
52,0.8595,3.2431817,200.0,4.0,8.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,theta
53,0.7885,3.2448606,200.0,4.0,8.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,theta
54,0.597,2.8269215,200.0,4.0,8.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,theta
55,0.5065,3.2809231,200.0,4.0,8.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,theta
56,0.51111114,4.2799716,240.0,4.0,8.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,theta
57,0.577,3.2521696,200.0,4.0,8.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,theta
58,0.534,3.4416616,200.0,4.0,8.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,theta
59,0.4775,2.8261828,200.0,4.0,8.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,theta
0,0.831,15.213513,200.0,8.0,12.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,alpha
1,0.7685,15.162473,200.0,8.0,12.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,alpha
2,0.559,13.490692,200.0,8.0,12.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,alpha
3,0.559,14.085678,200.0,8.0,12.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,alpha
4,0.611,13.75818,200.0,8.0,12.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,alpha
5,0.5295,15.263919,200.0,8.0,12.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,alpha
